name,price,release
Hidden Folks,$14.99,2017
SuchArt: Genius Artist Simulator,$13.74,2022
Half-Life 2: Episode One,$7.99,2006
Kerbal Space Program,$39.99,2015
ASTLIBRA Revision,$19.99,2022
Mini Motorways,$9.99,2021
Kingdom Rush Frontiers - Tower Defense,$9.99,2016
My Friend Pedro,$19.99,2019
Mini Metro,$9.99,2015
shapez,$3.24,2020
Downwell,$2.99,2015
Hello Charlotte EP3: Childhood's End,$3.99,2018
The Void Rains Upon Her Heart,$12.99,2018
Spiritfarer®: Farewell Edition,$29.99,2020
The Room VR: A Dark Matter,$29.99,2020
At Home Alone Final,-,2022
Walkabout Mini Golf VR,$14.99,2021
missed messages.,-,2019
Paint the Town Red,$19.99,2021
The Jackbox Party Pack 3,$24.99,2016
Metal: Hellsinger,$29.99,2022
Human Fall Flat,$19.99,2016
Ultimate Custom Night,-,2018
Superflight,$2.99,2017
Frog Detective 3: Corruption at Cowboy County,$4.99,2022
Townscaper,$2.39,2021
Carto,$19.99,2020
Baldi's Basics Plus,$9.99,2020
Age of Empires II: Definitive Edition,$19.99,2019
Resident Evil 7 Biohazard,$19.99,2017
Detroit: Become Human,$39.99,2020
OPUS: Echo of Starsong - Full Bloom Edition,$24.99,2021
Mad Father,$4.99,2016
Tinykin,$9.99,2022
The Legend of Heroes: Trails in the Sky SC,$29.99,2015
I commissioned some bees 0,-,2023
Glass Masquerade,$4.99,2016
Downfall - A Slay the Spire Fan Expansion,-,2022
Bastion,$14.99,2011
月影魅像-解放之羽-,$15.99,2019
Cult of the Lamb,$24.99,2022
Game Dev Tycoon,$9.99,2013
Rabbit and Steel,$14.99,2024
Psychopomp,-,2024
FreshWomen - Season 1,$8.39,2022
Lethal League Blaze,$19.99,2018
Everlasting Summer,-,2014
Shovel Knight: Treasure Trove,$39.99,2014
Flowers -Le volume sur ete-,$19.99,2018
死寂（Deathly Stillness）,-,2021
The Binding of Isaac,$4.99,2011
"Warhammer® 40,000: Dawn of War® - Dark Crusade",$3.24,2007
Grimhook,-,2023
TY the Tasmanian Tiger,$14.99,2016
Minami Lane,$4.99,2024
The Talos Principle,$4.49,2014
NEKOPARA Extra,$4.99,2018
英雄黄昏-文字三国志&曹贼模拟器,-,2021
DORONKO WANKO,-,2024
Little Nightmares,$19.99,2017
PlateUp!,$9.99,2022
FIVE NIGHTS AT FREDDY'S: HELP WANTED,$29.99,2019
Rusted Warfare - RTS,$4.99,2017
Sword and Fairy,$4.99,2021
Super Lesbian Animal RPG,$14.99,2022
DARK SOULS™ III,$59.99,2016
Mindustry,$9.99,2019
HROT,$19.99,2023
Princess Remedy in a World of Hurt,-,2016
Homicipher: Prologue,-,2023
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,$14.99,2014
OpenTTD,-,2021
Refunct,$2.99,2015
Rusty Lake: Roots,$3.99,2016
Monster Prom 2: Monster Camp,$11.99,2020
VVVVVV,$4.99,2010
Tukoni: Prologue,-,2020
Untitled Goose Game,$19.99,2020
Abiotic Factor,$24.99,2024
Hexcells,$0.89,2014
BLACK BOX LSS - The Shining Immortal,-,2023
Rabi-Ribi,$17.99,2016
STAR WARS™ Jedi Knight - Jedi Academy™,$9.99,2003
Nova Drift,$17.99,2019
Touhou Hero of Ice Fairy: Prologue,-,2021
In Stars And Time,$19.99,2023
Killing Floor,$19.99,2009
枝江往事,-,2021
Chop Goblins,$4.99,2022
Chicory: A Colorful Tale,$19.99,2021
Zup! X,$1.99,2018
ANIMAL WELL,$24.99,2024
The Room Three,$5.99,2018
NGU IDLE,-,2019
"South Scrimshaw, Part One",-,2023
S.T.A.L.K.E.R.: Call of Pripyat,$19.99,2010
Beacon Pines,$19.99,2022
Hypnospace Outlaw,$19.99,2019
Rusty's Retirement,$6.99,2024
No Case Should Remain Unsolved,$5.59,2024
Trine Enchanted Edition,$14.99,2009
Master Of Pottery,$5.99,2019
Will You Snail?,$8.24,2022
The Rewinder,$14.38,2021
Kindergarten,$4.99,2017
Anomaly Agent,$11.99,2024
The Forgotten City,$8.74,2021
Trine 2: Complete Story,$19.99,2011
Impostor Factory,$9.99,2021
Neighbours from Hell Compilation,-,2013
NEKOPARA Vol. 1,$9.99,2014
STAR WARS™ Republic Commando™,$9.99,2009
Spirit City: Lofi Sessions,$11.99,2024
Fireworks Mania - An Explosive Simulator,$11.99,2020
Cattails: Wildwood Story,$19.99,2023
Garden Galaxy,$9.99,2022
Insaniquarium Deluxe,$4.99,2006
Kaiju Princess,$10.99,2022
Lay a Beauty to Rest: The Darkness Peach Blossom Spring,$7.69,2021
Touhou Hero of Ice Fairy,$5.45,2024
Hexcells Infinite,$1.49,2014
The Elder Scrolls III: Morrowind® Game of the Year Edition,$3.74,2009
枝江畔之梦,-,2022
Call of Juarez: Gunslinger,$1.49,2013
The Pedestrian,$5.99,2020
Incredibox,$4.99,2021
我的小鲨鱼,-,2024
Blood and Bacon,$0.99,2016
Raging Loop,$29.99,2017
Voidigo,$18.99,2023
It Steals,$4.99,2020
Content Warning,$6.39,2024
klocki,$1.99,2016
Project Zomboid,$19.99,2013
Dwarf Fortress,$29.99,2022
Songs of Syx,$24.99,2020
Orcs Must Die!,$2.49,2011
Felvidek,$10.99,2024
Bit Blaster XL,$0.99,2016
LISA: The Painful,$19.99,2014
Portal: Revolution,-,2024
eden*,$19.99,2015
Don't Escape: 4 Days to Survive,$14.99,2019
NEEDY STREAMER OVERLOAD,$15.99,2022
Zup! Z,$1.99,2020
Winter Memories,$19.99,2024
Coloring Pixels,-,2018
Creeper World 3: Arc Eternal,$14.99,2014
AVICII Invector,$19.99,2019
Borderlands 2,$19.99,2012
My Summer Car,$14.99,2016
"Knowledge, or know Lady",$6.99,2024
Buckshot Roulette,$2.99,2024
Rusty Lake Hotel,$1.99,2016
POSTAL: Brain Damaged,$19.99,2022
Insomnia: Theater in the Head,$2.49,2022
Pilgrims,$2.09,2019
Indigo Park: Chapter 1,-,2024
WorldBox - God Simulator,$19.99,2021
Hylics 2,$14.99,2020
Cats Hidden in Bali,$0.99,2023
